relation,time
public,0.0350170135498
public,0.13533616066
public,0.111020088196
public,12.8770880699
personal,5.92833709717
public,0.158297777176
public,16.471665144
close,1.04226708412
public,3.25805711746
personal,1.63857603073
public,10.954169035
close,0.625038862228
public,0.395278930664
close,0.823973894119
public,15.7672460079
personal,1.41774916649
public,1.04460597038
personal,1.43153500557
public,12.1509099007
personal,0.610397100449
public,1.05684995651
personal,2.66256284714
public,14.2406210899
close,0.403954029083
public,5.02230095863
personal,1.40402197838
public,7.51967787743
personal,5.28248810768
public,1.65617585182
close,0.41139292717
public,3.88949489594
close,0.753517150879
personal,4.36789393425
close,0.302525043488
personal,4.91874599457
close,0.566518783569
personal,4.14190387726
close,0.122051000595
personal,0.901315927505
public,2.3586359024
normal,0.817869901657
public,2.45750999451
personal,0.771324157715
public,14.8958950043
personal,0.81479883194
public,0.614973068237
close,1.22889900208
public,38.8087539673
personal,1.2270989418
public,1.02531099319
personal,1.02038407326
public,2.97305488586
personal,3.06962680817
public,4.43704605103
normal,0.203962087631
close,0.204708099365
normal,3.457862854
close,0.200084924698
normal,0.203581809998
close,0.205929994583
normal,2.0449180603
close,1.42947387695
personal,2.45898389816
normal,0.151568889618
close,0.6658680439
personal,0.413790941238
public,2.86118292809
personal,22.5272238255
public,2.04779100418
personal,1.02389502525
public,0.617964029312
personal,20.4557590485
public,0.601603984833
personal,5.35841917992
public,0.818703889847
personal,8.04817891121
close,1.4245660305
personal,10.1588439941
public,6.17749214172
personal,5.93173003197
public,0.696599960327
personal,0.435267925262
close,0.380603075027
personal,2.07064008713
public,3.89102506638
close,0.408790111542
normal,0.61604309082
public,0.930121898651
normal,0.709313154221
public,19.8611690998
personal,0.820600032806
public,0.615609169006
close,0.33758687973
public,0.48575592041
normal,0.124855995178
public,2.11910700798
normal,0.307510852814
close,1.63501310349
normal,0.407259941101
personal,0.618093013763
public,2.8354640007
normal,0.645448207855
public,0.41012597084
personal,2.26451706886
public,5.11082005501
personal,0.406841993332
public,9.72795796394
personal,0.819227933884
public,13.723733902
close,0.822922945023
public,13.0982890129
normal,1.22880411148
public,1.94714593887
normal,0.592323064804
close,1.25140094757
public,0.0590038299561
public,82.1606609821
close,0.0351710319519
public,0.166126012802
close,0.0493879318237
public,0.159486055374
close,0.057452917099
public,1.15497589111
normal,0.14940905571
public,0.0537300109863
normal,0.161240100861
public,0.0439660549164
normal,0.172628879547
public,0.281942844391
normal,0.153168916702
public,4.6968460083e-05
normal,0.214313030243
public,0.189800024033
normal,0.0261678695679
public,0.439002037048
personal,0.000146150588989
public,0.141254901886
personal,0.0718188285828
public,0.13238120079
personal,0.0854699611664
public,0.117482185364
personal,0.100332975388
public,0.104415178299
personal,0.115168809891
public,0.0973348617554
personal,0.112885951996
public,0.0796399116516
personal,0.138447999954
public,0.0647230148315
personal,0.160797834396
public,0.0452711582184
personal,0.161463975906
public,0.0396220684052
personal,0.175715208054
public,0.0271089076996
personal,0.189496994019
public,0.0139830112457
personal,0.200089931488
public,0.00637006759644
personal,0.211278915405
public,0.193042039871
personal,0.0220408439636
public,0.182721853256
personal,0.0335409641266
public,0.168850898743
personal,0.0501399040222
public,0.152328014374
personal,0.0637149810791
public,0.140072107315
personal,0.0759248733521
public,0.128499031067
personal,0.0878419876099
public,0.11817407608
personal,0.0984480381012
public,0.104879140854
personal,0.11127781868
public,0.0877299308777
personal,0.128671884537
public,0.0743689537048
personal,0.14186000824
public,0.0629851818085
personal,0.153137207031
public,0.04869389534
personal,0.167953014374
public,0.0351040363312
personal,0.180480003357
public,0.0227019786835
personal,0.193639039993
public,0.0102899074554
personal,0.29003405571
public,0.709851026535
normal,0.0798389911652
public,0.120010137558
normal,0.0913290977478
public,0.313636064529
normal,0.120433092117
public,0.0825819969177
normal,0.133228063583
public,0.0703549385071
normal,0.146146059036
public,0.0571389198303
normal,0.15919303894
public,0.265569210052
normal,0.169126033783
public,0.650145053864
personal,0.174859046936
public,2.04038190842
normal,0.170089006424
public,0.0289459228516
normal,0.187246084213
public,1.63700199127
normal,0.100401878357
public,0.101707220078
normal,0.113243818283
public,0.288225889206
personal,0.149169921875
public,0.0542819499969
personal,0.157500982285
close,0.0532739162445
personal,0.168982982635
close,0.0277230739594
personal,0.183585882187
close,0.0234498977661
personal,0.19441819191
public,0.00642895698547
personal,0.207550048828
normal,0.200767040253
personal,0.0171611309052
close,0.184772014618
personal,0.0311141014099
close,0.17227101326
personal,0.0461809635162
close,0.158146858215
personal,0.0565760135651
close,0.14491891861
personal,0.0758190155029
close,0.127720117569
personal,0.0839729309082
close,0.121397018433
personal,1.7153840065
public,0.11431479454
personal,0.194131851196
public,0.0229451656342
personal,0.18078494072
public,0.04532289505
personal,0.157608985901
public,0.0495100021362
personal,0.158448934555
public,0.0601811408997
personal,0.155994176865
public,0.0595200061798
personal,0.7815990448
close,0.485905170441
public,0.681189060211
personal,0.0652480125427
public,0.136345863342
personal,0.0798671245575
public,0.131936788559
personal,0.0874609947205
public,0.112903118134
personal,0.0979700088501
public,0.304302930832
personal,0.222874879837
public,5.10215759277e-05
personal,0.122798919678
public,0.0656177997589
personal,0.156427145004
public,0.0447239875793
personal,0.166095972061
public,0.0461099147797
personal,0.169955968857
public,0.828815937042
personal,0.658644914627
public,0.158015966415
personal,0.248311042786
public,0.159519910812
personal,0.239629983902
public,0.167721986771
personal,0.24001121521
public,1.12042999268
normal,0.031683921814
personal,0.306061983109
public,2.18926215172
close,0.167143106461
personal,0.0476689338684
close,0.348833084106
personal,0.448005199432
close,0.172761917114
personal,0.345234155655
close,0.0634028911591
public,0.0418999195099
normal,0.155787944794
public,0.643399000168
close,0.172178983688
public,0.0509719848633
close,0.153782129288
public,0.430400848389
close,0.19259595871
public,0.0234580039978
close,0.166734933853
public,0.0492739677429
close,0.158054828644
public,0.0581729412079
close,0.140874147415
public,0.0785160064697
close,0.125422000885
public,0.219828128815
close,0.204236030579
public,0.0120739936829
close,0.173939228058
public,0.0420439243317
close,0.16162109375
public,0.0545170307159
close,0.149771928787
public,0.0769999027252
close,1.81401610374
personal,3.93532085419
public,0.299959897995
personal,0.00144386291504
public,0.959636926651
personal,0.047926902771
public,0.154715061188
personal,0.0478119850159
public,0.170116901398
personal,0.0344550609589
