type,duration,end_time
public,0.0304348468781,13:36:39
normal,0.643684148788,13:36:40
public,0.204418897629,13:36:40
public,0.018100976944,13:55:56
normal,2.53863120079,13:55:59
public,0.407879114151,13:55:59
normal,1.43413996696,13:56:00
public,0.202754020691,13:56:01
normal,0.60113120079,13:56:08
public,0.146315097809,13:56:08
normal,0.204203128815,13:56:08
public,0.34338092804,13:56:09
normal,2.73059105873,13:56:11
public,0.933315992355,13:56:12
normal,2.20301508904,13:56:16
public,0.179040908813,13:56:17
normal,3.69757199287,13:56:20
public,0.163089990616,13:56:21
normal,0.59628200531,13:56:23
public,0.958925008774,13:56:24
normal,1.01802802086,13:56:25
public,1.31433391571,13:56:27
normal,3.07264304161,13:56:33
personal,0.769520998001,13:56:34
normal,0.670022964478,13:56:36
public,0.137138843536,13:56:36
normal,2.14904785156,13:56:39
public,0.0873839855194,13:56:39
normal,1.82505011559,13:56:40
public,0.205207109451,13:56:41
normal,2.03176212311,13:56:43
public,0.407995939255,13:56:43
normal,5.13650584221,13:56:48
public,0.1498670578,13:56:48
normal,1.01313304901,13:56:49
public,0.203424930573,13:56:50
normal,2.23723483086,13:56:52
public,0.490145921707,13:56:52
normal,1.13442182541,13:56:53
personal,0.911859035492,13:56:54
normal,6.87730193138,13:57:01
public,0.189071178436,13:57:01
normal,3.89889907837,13:57:07
public,1.01750707626,13:57:08
normal,1.22341895103,13:57:09
public,0.197727918625,13:57:09
normal,12.8876628876,13:57:22
close,0.224415063858,13:57:22
normal,1.72673416138,13:57:24
public,0.313837051392,13:57:24
normal,7.41345691681,13:57:32
public,0.200989961624,13:57:32
normal,13.4147319794,13:57:45
public,0.408632040024,13:57:46
normal,3.63990783691,13:57:53
public,0.171993970871,13:57:53
normal,0.335467100143,13:57:59
public,0.607933044434,13:57:59
normal,0.781677007675,13:58:00
public,2.45819687843,13:58:08
normal,0.474831104279,13:58:13
public,0.00558710098267,13:58:13
normal,1.50323796272,13:58:15
public,0.314974069595,13:58:15
normal,2.24179005623,13:58:17
public,0.307991027832,13:58:18
normal,0.093768119812,13:58:18
public,0.40790104866,13:58:18
normal,1.21693110466,13:58:19
public,0.203733921051,13:58:20
normal,1.0123000145,13:58:21
public,0.205790996552,13:58:21
normal,2.48147416115,13:58:23
public,0.576913118362,13:58:24
normal,5.98566198349,13:58:30
public,0.245338916779,13:58:31
normal,1.64140295982,13:58:32
public,0.184206962585,13:58:33
normal,1.26472902298,13:58:36
public,0.204412221909,13:58:36
normal,1.47652697563,13:58:37
public,0.410629987717,13:58:38
normal,1.22570204735,13:58:39
public,0.150645971298,13:58:39
normal,0.597501039505,13:58:40
public,0.202681064606,13:58:40
normal,3.24916195869,13:58:43
public,0.305157899857,13:58:43
normal,2.15008711815,13:58:45
personal,0.82763004303,13:58:46
normal,0.38019490242,13:58:47
public,0.616214036942,13:58:47
normal,7.71593809128,13:58:55
public,0.613492965698,13:58:56
normal,6.74041795731,13:59:02
public,0.573568105698,13:59:03
normal,5.48523306847,13:59:08
public,0.203938007355,13:59:09
normal,2.04408597946,13:59:11
public,0.600260019302,13:59:11
normal,1.43337202072,13:59:13
public,0.409646034241,13:59:13
normal,6.28374099731,13:59:19
public,0.624042987823,13:59:20
normal,1.48708891869,13:59:22
public,0.223429918289,13:59:22
normal,0.916532993317,13:59:23
public,0.718140125275,13:59:23
normal,2.12934279442,13:59:26
public,1.84837698936,13:59:27
normal,0.998198986053,13:59:28
public,0.200818061829,13:59:29
normal,0.268114089966,13:59:29
public,0.159287929535,13:59:30
